Date,Channel,Sessions,Users,EngagementTime,PagesPerSession,Hour,SessionID,EngagedSession,1. Trends in Sessions and Users Over Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Paid,1,2,415.756005,1.6,3,S0001,1,Row Labels,Sum of Sessions,Sum of Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-06-2025,Social,4,2,436.397105,2.9,12,S0002,1,Apr,593,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-05-2025,Paid,4,1,418.5941346,3.1,16,S0003,1,May,1267,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-04-2025,Paid,1,3,89.31672635,5.2,10,S0004,1,Jun,617,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-05-2025,Paid,4,2,186.6433971,3.4,1,S0005,1,Grand Total,2477,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2025,Referral,4,1,221.64216,1.9,15,S0006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-05-2025,Referral,4,1,484.6179525,2.5,1,S0007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Paid,2,3,174.4683247,2.3,18,S0008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-2025,Social,4,2,134.3159287,9.8,22,S0009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-05-2025,Organic,4,2,574.8943312,7.8,18,S0010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-05-2025,Social,4,3,15.22933822,9.7,15,S0011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-04-2025,Email,2,3,598.7143049,5,21,S0012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-04-2025,Referral,1,1,409.3245663,3.5,18,S0013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Organic,3,1,498.7968867,8.2,8,S0014,1,,,,,,,,,,,,,,,,,,,,,,, 3. Channel with Highest Avg. Engagement Time,,,,,,,? 4. Engagement Rate by Channel,,,,,,, 6. Traffic by Hour of Day per Channel,,,,,,,,,7. Correlation Between Sessions and Engagement Rate,,,,,,,,
06-06-2025,Organic,4,3,183.8254438,3.9,0,S0015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-05-2025,Email,1,2,18.44601382,3.7,9,S0016,0,,,,,,,,,,,,,,,,,,,,,,,Row Labels,Sum of EngagementTime,,,,,,Row Labels,Sum of EngagedSession,,,,,,Sum of Sessions,Column Labels,,,,,,,,,,,,,,,,
24-05-2025,Email,4,1,445.343016,3.1,18,S0017,1,,,,,,,,,,,,,,,,,,,,,,,Email,59805.57944,,,,,,Email,178,,,,,,Row Labels,Email,Organic,Paid,Referral,Social,(blank),Grand Total,,,,,,,,,,
08-05-2025,Paid,2,1,502.1453122,2.2,0,S0018,1,,,,,,,,,,,,,,,,,,,,,,,Organic,66139.34456,,,,,,S0012,1,,,,,,0,16,33,12,22,10,,93,,,,,,,,,,
17-04-2025,Referral,1,2,446.8809179,3.3,1,S0019,1,,,,,,,,,,2. Which Channel Brings Most Users,,,,,,,,,,,,,Paid,60616.62874,,,,,,S0016,0,,,,,,1,19,32,14,26,27,,118,,,,,,,,,,
06-05-2025,Referral,2,1,94.28166951,4.2,15,S0020,1,,,,,,,,,,,,,,,,,,,,,,,Referral,65988.1484,,,,,,S0017,1,,,,,,2,27,9,27,18,6,,87,,,,,,,,,,
06-06-2025,Social,4,2,454.5224741,7.1,11,S0021,1,,,,,,,,,,.,Sum of Users,,,,,,,,,,,,Social,52994.07638,,,,,,S0036,1,,,,,,3,15,36,14,10,29,,104,,,,,,,,,,
16-04-2025,Paid,4,2,463.6644414,1.6,7,S0022,1,,,,,,,,,,Email,399,,,,,,,,,,,,Grand Total,305543.7775,,,,,,S0037,0,,,,,,4,13,15,19,27,14,,88,,,,,,,,,,
08-05-2025,Paid,2,2,398.5389042,2.9,22,S0023,1,,,,,,,,,,Organic,396,,,,,,,,,,,,,,,,,,,S0045,0,,,,,,5,14,26,22,16,13,,91,,,,,,,,,,
28-05-2025,Paid,3,3,462.0084003,8.3,17,S0024,1,,,,,,,,,,Paid,414,,,,,,,,,,,,,,,,,,,S0047,1,,,,,,6,23,23,31,19,21,,117,,,,,,,,,,
14-05-2025,Paid,2,3,509.0936494,2.3,1,S0025,1,,,,,,,,,,Referral,412,,,,,,,,,,,,,,,,,,,S0049,1,,,,,,7,7,19,36,23,15,,100,,,,,,,,,,
22-05-2025,Referral,4,3,372.0264274,4.1,12,S0026,1,,,,,,,,,,Social,373,,,,,,,,,,,,,,,,,,,S0062,1,,,,,,8,22,24,16,14,16,,92,,,,,,,,,,
16-04-2025,Referral,2,2,62.27678124,8.8,5,S0027,1,,,,,,,,,,Grand Total,1994,,,,,,,,,,,,,,,,,,,S0064,1,,,,,,9,29,27,23,27,12,,118,,,,,,,,,,
13-06-2025,Paid,3,2,297.7004077,2.4,20,S0028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0068,1,,,,,,10,15,12,21,8,28,,84,,,,,,,,,,
05-05-2025,Social,2,3,55.81310746,1.7,5,S0029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0069,0,,,,,,11,26,19,24,23,25,,117,,,,,,,,,,
17-05-2025,Organic,3,1,250.4503883,5.4,8,S0030,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0073,1,,,,,,12,25,5,21,21,19,,91,,,,,,,,,,
26-04-2025,Organic,3,2,250.1928286,3.7,15,S0031,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0074,1,,,,,,13,14,22,23,19,24,,102,,,,,,,,,,
11-06-2025,Social,2,1,48.94580804,6.1,10,S0032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0076,1,,,,,,14,11,17,15,30,8,,81,,,,,,,,,,
06-05-2025,Paid,2,1,215.804115,8.2,6,S0033,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0083,1,,,,,,15,22,27,14,42,27,,132,,,,,,,,,,
